#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Otu53	56	8	13	8	8	14	14	43	11	31	23	56	93	12	34	52	21	38	62	0
Otu96	10	4	6	4	0	5	15	12	13	8	5	0	3	0	0	0	0	0	0	0
Otu27	59	12	19	19	17	19	25	50	90	42	34	25	91	21	124	73	35	57	83	0
Otu15	39	82	30	60	13	10	75	73	97	257	135	14	18	1	6	5	2	4	4	0
Otu17	40	43	5	12	42	36	17	159	110	145	19	51	30	125	9	29	37	108	24	1
Otu74	19	2	4	5	5	5	16	10	9	16	9	67	107	2	33	55	4	33	70	0
Otu8	239	187	85	103	153	245	149	488	321	406	228	106	671	253	142	309	251	177	236	0
Otu42	45	6	7	8	13	8	18	28	20	35	13	23	37	2	18	19	4	6	12	0
Otu194	86	19	3	6	8	3	3	2	9	10	2	12	37	5	11	14	9	17	14	0
Otu48	79	0	1	0	0	3	0	26	0	1	0	43	84	14	1	7	18	10	30	0
Otu24	25	51	8	24	10	18	23	44	44	135	80	28	40	9	0	21	4	7	14	0
Otu4	165	204	200	120	131	359	193	547	500	453	189	126	362	443	144	502	519	545	617	0
Otu49	54	5	3	4	3	1	5	17	13	8	3	44	200	5	56	10	5	36	35	0
Otu13	87	31	10	7	10	15	23	69	51	40	16	305	349	47	82	55	38	45	92	0
Otu71	52	4	2	3	6	3	3	17	13	15	10	42	65	8	26	22	7	9	14	0
Otu23	31	19	14	7	22	40	17	62	58	57	22	15	93	51	19	23	10	9	11	1
Otu18	69	6	3	4	3	5	19	8	11	8	6	63	316	38	55	61	12	57	42	0
Otu91	36	3	0	4	1	2	4	7	14	25	12	14	45	4	3	4	1	4	7	0
Otu25	42	32	4	4	10	9	33	16	21	35	16	136	101	8	42	18	6	48	88	0
Otu59	21	15	27	9	20	5	3	28	68	27	16	0	4	12	0	0	0	0	0	0
Otu185	40	6	0	1	0	1	6	8	6	15	4	35	93	11	0	2	1	2	2	0
Otu32	44	3	4	1	1	0	4	23	5	12	4	53	146	12	44	51	15	58	98	0
Otu33	16	11	7	11	2	7	23	35	22	41	37	21	81	7	16	21	9	22	29	0
Otu38	60	9	5	4	3	8	12	14	15	58	20	48	157	10	8	25	7	43	23	0
Otu129	1	4	0	0	0	0	4	4	4	3	5	6	14	1	2	0	0	1	2	0
Otu79	26	3	1	5	2	1	12	9	5	3	2	10	45	1	11	30	5	18	24	0
Otu83	9	11	5	6	10	9	12	12	28	52	11	6	41	7	5	10	2	9	14	0
Otu40	32	2	2	3	0	1	4	12	4	7	2	44	144	4	9	42	12	11	22	0
Otu50	28	0	1	0	0	0	0	0	1	0	0	67	79	15	31	48	20	35	56	0
Otu39	43	23	2	6	2	2	26	17	20	62	35	57	82	25	6	5	1	8	2	0
Otu69	119	6	4	2	6	14	2	23	29	13	7	0	2	0	1	0	0	1	0	0
Otu57	42	12	5	5	3	4	19	22	9	20	13	37	65	7	20	58	10	42	59	0
Otu119	8	2	0	0	6	6	5	2	4	11	7	3	1	1	0	0	0	0	2	0
Otu14	61	6	6	3	5	5	4	40	54	4	5	100	413	390	16	70	38	19	40	0
Otu61	5	1	2	2	1	3	6	5	2	8	4	11	20	19	13	24	12	31	44	0
Otu192	10	7	1	2	4	5	6	10	9	18	7	19	73	16	32	35	29	39	51	0
Otu93	18	12	5	6	5	10	11	6	14	19	6	1	6	5	5	2	4	3	13	0
Otu144	4	0	1	2	2	7	3	2	3	0	3	0	0	0	0	0	0	1	1	0
Otu152	10	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Otu54	20	13	2	4	2	5	14	13	17	57	22	17	43	5	6	9	2	11	5	0
Otu122	4	1	2	1	0	2	14	22	5	10	10	4	9	0	5	9	0	8	5	0
Otu81	5	24	4	17	3	10	11	10	31	56	40	4	11	1	8	5	1	2	5	0
Otu181	6	23	2	9	10	9	11	43	19	56	43	12	92	16	30	31	10	23	30	0
Otu177	4	0	0	0	0	3	0	1	0	0	1	1	2	0	0	0	0	0	0	0
Otu183	15	5	1	2	5	6	8	10	19	17	5	2	29	6	23	16	10	17	34	0
Otu58	12	4	2	5	4	8	9	7	9	16	10	34	89	10	10	14	2	32	31	0
Otu149	2	1	0	1	1	3	3	6	4	3	0	3	0	0	1	0	0	2	2	0
Otu68	17	4	4	2	4	11	2	21	21	6	7	2	45	13	11	5	8	5	8	0
Otu182	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
Otu105	26	0	0	0	0	0	1	0	1	0	0	15	30	10	2	13	5	8	9	0
Otu148	3	0	0	0	0	0	2	4	0	1	0	4	0	1	1	1	1	3	3	0
Otu104	15	2	1	0	2	1	11	12	11	12	7	9	14	0	5	13	1	11	12	0
Otu114	1	0	0	0	0	0	0	0	1	0	0	3	7	0	9	7	0	2	17	0
Otu130	3	2	0	0	3	3	2	9	7	11	6	3	9	2	4	2	2	2	0	0
Otu133	5	3	1	2	1	1	2	3	3	6	2	0	1	0	0	1	0	1	1	0
Otu212	8	3	0	1	0	1	2	7	9	9	3	7	12	3	2	3	2	6	0	0
Otu35	26	40	3	32	2	12	25	17	42	53	33	30	39	4	19	19	9	24	28	1
Otu147	2	1	0	1	0	0	1	0	1	2	0	2	3	2	1	3	0	1	2	0
Otu131	10	0	0	0	0	0	1	1	1	1	0	0	3	0	0	7	3	3	10	0
Otu70	4	15	1	12	6	4	12	7	14	65	18	10	31	7	8	13	7	7	10	0
Otu128	5	3	0	3	1	3	2	5	7	4	3	1	8	0	5	4	0	8	8	0
Otu162	2	1	2	1	0	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0
Otu95	6	6	1	1	1	1	3	0	3	18	8	21	18	2	2	3	2	7	3	0
Otu118	9	0	0	0	1	1	11	3	2	3	1	6	8	3	4	5	0	5	4	0
Otu120	7	1	3	1	3	5	0	4	4	7	6	0	5	0	0	2	0	3	1	0
Otu98	3	5	1	0	1	0	3	1	5	8	2	7	7	4	8	2	2	15	9	0
Otu150	11	0	0	0	1	0	0	1	1	0	1	1	2	0	1	0	0	0	0	0
Otu92	10	2	0	1	2	1	4	12	7	9	8	5	11	2	5	8	0	8	7	0
Otu201	4	9	7	7	4	10	1	33	18	13	4	8	21	4	4	9	1	5	6	0
Otu45	10	3	4	1	3	2	7	28	23	33	9	21	41	4	21	26	18	50	105	0
Otu41	18	27	2	4	3	2	14	30	22	23	15	34	46	11	17	21	6	21	23	0
Otu132	1	1	1	0	0	0	1	1	1	1	1	2	5	0	1	3	2	4	14	0
Otu97	3	2	1	1	1	1	1	4	1	8	2	4	36	20	16	10	3	2	2	1
Otu171	7	0	0	0	0	0	0	0	0	2	1	1	0	0	0	3	0	1	3	0
Otu174	3	0	1	0	0	1	1	2	0	0	1	0	2	1	3	0	0	0	1	0
Otu217	7	4	1	4	2	3	5	2	8	18	4	0	3	0	0	1	1	0	1	0
Otu193	4	0	0	0	1	0	0	2	0	3	1	1	0	0	0	0	0	1	0	0
